order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd
2586,"2013-01-01 04:46:02",62469,36873,1,1,49.99,19.49
2587,"2013-01-01 05:40:22",62474,56547,1,1,49.99,19.49
2588,"2013-01-01 09:48:36",62484,56555,1,1,49.99,19.49
2589,"2013-01-01 11:12:38",62487,54188,1,1,49.99,19.49
2590,"2013-01-01 16:21:47",62538,56590,1,1,49.99,19.49
2591,"2013-01-01 17:50:32",62557,56604,1,1,49.99,19.49
2592,"2013-01-01 18:18:29",62566,56610,1,1,49.99,19.49
2593,"2013-01-01 18:42:01",62571,36731,1,1,49.99,19.49
2594,"2013-01-01 19:39:36",62588,38867,1,1,49.99,19.49
2595,"2013-01-01 22:40:44",62624,56650,1,1,49.99,19.49
2596,"2013-01-01 22:43:03",62625,56651,1,1,49.99,19.49
2597,"2013-01-02 02:39:38",62664,56681,1,1,49.99,19.49
2598,"2013-01-02 04:57:31",62687,56700,1,1,49.99,19.49
2599,"2013-01-02 04:58:03",62686,56699,1,1,49.99,19.49
2600,"2013-01-02 11:28:53",62713,56720,1,1,49.99,19.49
2601,"2013-01-02 12:54:46",62721,56728,1,1,49.99,19.49
2602,"2013-01-02 13:37:26",62727,56733,1,1,49.99,19.49
2603,"2013-01-02 14:32:33",62737,56741,1,1,49.99,19.49
2604,"2013-01-02 14:55:08",62741,56745,1,1,49.99,19.49
2605,"2013-01-02 15:36:16",62754,56753,1,1,49.99,19.49
2606,"2013-01-02 15:52:33",62757,47134,1,1,49.99,19.49
2607,"2013-01-02 16:46:34",62775,56768,1,1,49.99,19.49
2608,"2013-01-02 16:53:33",62777,38964,1,1,49.99,19.49
2609,"2013-01-02 17:20:00",62781,56771,1,1,49.99,19.49
2610,"2013-01-02 19:47:04",62810,56794,1,1,49.99,19.49
2611,"2013-01-02 19:57:11",62814,36564,1,1,49.99,19.49
2612,"2013-01-02 22:11:21",62851,56824,1,1,49.99,19.49
2613,"2013-01-03 01:32:56",62904,51192,1,1,49.99,19.49
2614,"2013-01-03 03:29:55",62924,52653,1,1,49.99,19.49
2615,"2013-01-03 03:47:44",62925,56877,1,1,49.99,19.49
2616,"2013-01-03 04:15:17",62930,46093,1,1,49.99,19.49
2617,"2013-01-03 05:13:42",62940,43299,1,1,49.99,19.49
2618,"2013-01-03 05:51:26",62948,56894,1,1,49.99,19.49
2619,"2013-01-03 15:13:54",62991,56922,1,1,49.99,19.49
2620,"2013-01-03 16:27:06",63009,55724,1,1,49.99,19.49
2621,"2013-01-03 20:09:56",63066,56979,1,1,49.99,19.49
2622,"2013-01-03 20:20:07",63069,55065,1,1,49.99,19.49
2623,"2013-01-03 20:28:28",63074,56986,1,1,49.99,19.49
2624,"2013-01-03 20:59:31",63086,35075,1,1,49.99,19.49
2625,"2013-01-03 22:55:13",63119,57017,1,1,49.99,19.49
2626,"2013-01-04 00:51:49",63140,57032,1,1,49.99,19.49
2627,"2013-01-04 01:41:58",63148,52744,1,1,49.99,19.49
2628,"2013-01-04 02:30:36",63152,57041,1,1,49.99,19.49
2629,"2013-01-04 07:33:56",63181,43321,1,1,49.99,19.49
2630,"2013-01-04 13:03:53",63207,57084,1,1,49.99,19.49
2631,"2013-01-04 13:16:59",63208,57085,1,1,49.99,19.49
2632,"2013-01-04 16:31:31",63258,39686,1,1,49.99,19.49
2633,"2013-01-04 16:34:59",63260,46169,1,1,49.99,19.49
2634,"2013-01-04 18:41:07",63297,57148,1,1,49.99,19.49
2635,"2013-01-04 20:56:49",63327,55806,1,1,49.99,19.49
2636,"2013-01-04 21:26:09",63339,40813,1,1,49.99,19.49
2637,"2013-01-04 21:43:01",63342,57182,1,1,49.99,19.49
2638,"2013-01-04 21:52:33",63346,57184,1,1,49.99,19.49
2639,"2013-01-04 23:06:57",63361,57196,1,1,49.99,19.49
2640,"2013-01-04 23:52:22",63367,57201,1,1,49.99,19.49
2641,"2013-01-05 00:18:52",63372,57205,1,1,49.99,19.49
2642,"2013-01-05 00:24:58",63374,57207,1,1,49.99,19.49
2643,"2013-01-05 00:35:26",63375,57208,1,1,49.99,19.49
