order_item_id,created_at,order_id,product_id,is_primary_item,price_usd,cogs_usd
2586,"2013-01-01 04:46:02",2586,1,1,49.99,19.49
2587,"2013-01-01 05:40:22",2587,1,1,49.99,19.49
2588,"2013-01-01 09:48:36",2588,1,1,49.99,19.49
2589,"2013-01-01 11:12:38",2589,1,1,49.99,19.49
2590,"2013-01-01 16:21:47",2590,1,1,49.99,19.49
2591,"2013-01-01 17:50:32",2591,1,1,49.99,19.49
2592,"2013-01-01 18:18:29",2592,1,1,49.99,19.49
2593,"2013-01-01 18:42:01",2593,1,1,49.99,19.49
2594,"2013-01-01 19:39:36",2594,1,1,49.99,19.49
2595,"2013-01-01 22:40:44",2595,1,1,49.99,19.49
2596,"2013-01-01 22:43:03",2596,1,1,49.99,19.49
2597,"2013-01-02 02:39:38",2597,1,1,49.99,19.49
2598,"2013-01-02 04:57:31",2598,1,1,49.99,19.49
2599,"2013-01-02 04:58:03",2599,1,1,49.99,19.49
2600,"2013-01-02 11:28:53",2600,1,1,49.99,19.49
2601,"2013-01-02 12:54:46",2601,1,1,49.99,19.49
2602,"2013-01-02 13:37:26",2602,1,1,49.99,19.49
2603,"2013-01-02 14:32:33",2603,1,1,49.99,19.49
2604,"2013-01-02 14:55:08",2604,1,1,49.99,19.49
2605,"2013-01-02 15:36:16",2605,1,1,49.99,19.49
2606,"2013-01-02 15:52:33",2606,1,1,49.99,19.49
2607,"2013-01-02 16:46:34",2607,1,1,49.99,19.49
2608,"2013-01-02 16:53:33",2608,1,1,49.99,19.49
2609,"2013-01-02 17:20:00",2609,1,1,49.99,19.49
2610,"2013-01-02 19:47:04",2610,1,1,49.99,19.49
2611,"2013-01-02 19:57:11",2611,1,1,49.99,19.49
2612,"2013-01-02 22:11:21",2612,1,1,49.99,19.49
2613,"2013-01-03 01:32:56",2613,1,1,49.99,19.49
2614,"2013-01-03 03:29:55",2614,1,1,49.99,19.49
2615,"2013-01-03 03:47:44",2615,1,1,49.99,19.49
2616,"2013-01-03 04:15:17",2616,1,1,49.99,19.49
2617,"2013-01-03 05:13:42",2617,1,1,49.99,19.49
2618,"2013-01-03 05:51:26",2618,1,1,49.99,19.49
2619,"2013-01-03 15:13:54",2619,1,1,49.99,19.49
2620,"2013-01-03 16:27:06",2620,1,1,49.99,19.49
2621,"2013-01-03 20:09:56",2621,1,1,49.99,19.49
2622,"2013-01-03 20:20:07",2622,1,1,49.99,19.49
2623,"2013-01-03 20:28:28",2623,1,1,49.99,19.49
2624,"2013-01-03 20:59:31",2624,1,1,49.99,19.49
2625,"2013-01-03 22:55:13",2625,1,1,49.99,19.49
2626,"2013-01-04 00:51:49",2626,1,1,49.99,19.49
2627,"2013-01-04 01:41:58",2627,1,1,49.99,19.49
2628,"2013-01-04 02:30:36",2628,1,1,49.99,19.49
2629,"2013-01-04 07:33:56",2629,1,1,49.99,19.49
2630,"2013-01-04 13:03:53",2630,1,1,49.99,19.49
2631,"2013-01-04 13:16:59",2631,1,1,49.99,19.49
2632,"2013-01-04 16:31:31",2632,1,1,49.99,19.49
